AK-47 | Aquamarine Revenge,Battle-Scarred,False,53,47
AK-47 | Fire Serpent,Minimal Wear,True,0,0
AK-47 | Fire Serpent,Well-Worn,False,1,4
AK-47 | Fire Serpent,Well-Worn,True,0,0
AK-47 | First Class,Battle-Scarred,False,2,9
AK-47 | First Class,Factory New,False,0,18
AK-47 | First Class,Field-Tested,False,3,19
AK-47 | First Class,Minimal Wear,False,1,17
AK-47 | First Class,Well-Worn,False,1,8
AK-47 | Frontside Misty,Battle-Scarred,False,62,107
AK-47 | Frontside Misty,Battle-Scarred,True,9,16
AK-47 | Frontside Misty,Factory New,False,11,23
AK-47 | Frontside Misty,Factory New,True,0,10
AK-47 | Frontside Misty,Field-Tested,False,334,352
AK-47 | Frontside Misty,Field-Tested,True,20,40
AK-47 | Frontside Misty,Minimal Wear,False,106,143
AK-47 | Frontside Misty,Minimal Wear,True,15,15
AK-47 | Frontside Misty,Well-Worn,False,50,73
AK-47 | Frontside Misty,Well-Worn,True,7,7
AK-47 | Fuel Injector,Battle-Scarred,False,19,22
AK-47 | Fuel Injector,Battle-Scarred,True,1,4
AK-47 | Fuel Injector,Factory New,False,1,18
AK-47 | Fuel Injector,Factory New,True,0,2
AK-47 | Fuel Injector,Field-Tested,False,23,47
AK-47 | Fuel Injector,Field-Tested,True,2,10
AK-47 | Fuel Injector,Minimal Wear,False,7,24
AK-47 | Fuel Injector,Minimal Wear,True,0,4
AK-47 | Fuel Injector,Well-Worn,False,19,22
AK-47 | Fuel Injector,Well-Worn,True,1,5
AK-47 | Hydroponic,Battle-Scarred,False,0,8
AK-47 | Hydroponic,Factory New,False,1,5
AK-47 | Hydroponic,Field-Tested,False,1,13
AK-47 | Hydroponic,Minimal Wear,False,1,7
AK-47 | Hydroponic,Well-Worn,False,0,1
AK-47 | Jaguar,Battle-Scarred,False,8,38
AK-47 | Jaguar,Battle-Scarred,True,0,3
AK-47 | Jaguar,Factory New,False,3,14
AK-47 | Jaguar,Factory New,True,3,6
AK-47 | Jaguar,Field-Tested,False,41,64
AK-47 | Jaguar,Field-Tested,True,0,8
AK-47 | Jaguar,Minimal Wear,False,15,42
AK-47 | Jaguar,Minimal Wear,True,0,7
AK-47 | Jaguar,Well-Worn,False,27,36
AK-47 | Jaguar,Well-Worn,True,0,4
AK-47 | Jet Set,Battle-Scarred,False,1,6
AK-47 | Jet Set,Factory New,False,0,5
AK-47 | Jet Set,Field-Tested,False,0,7
AK-47 | Jet Set,Minimal Wear,False,1,6
AK-47 | Jet Set,Well-Worn,False,0,6
AK-47 | Jungle Spray,Battle-Scarred,False,10,104
AK-47 | Jungle Spray,Factory New,False,2,9
AK-47 | Jungle Spray,Field-Tested,False,48,303
AK-47 | Jungle Spray,Minimal Wear,False,6,112
AK-47 | Jungle Spray,Well-Worn,False,12,57
AK-47 | Neon Revolution,Battle-Scarred,False,52,74
AK-47 | Neon Revolution,Battle-Scarred,True,2,14
AK-47 | Neon Revolution,Factory New,False,9,33
AK-47 | Neon Revolution,Factory New,True,2,7
AK-47 | Neon Revolution,Field-Tested,False,235,183
AK-47 | Neon Revolution,Field-Tested,True,10,19
AK-47 | Neon Revolution,Minimal Wear,False,63,81
AK-47 | Neon Revolution,Minimal Wear,True,4,14
AK-47 | Neon Revolution,Well-Worn,False,9,23
AK-47 | Neon Revolution,Well-Worn,True,2,5
AK-47 | Neon Rider,Battle-Scarred,False,28,30
AK-47 | Neon Rider,Battle-Scarred,True,3,9
AK-47 | Neon Rider,Factory New,False,12,20
AK-47 | Neon Rider,Factory New,True,1,7
AK-47 | Neon Rider,Field-Tested,False,126,69
AK-47 | Neon Rider,Field-Tested,True,12,12
AK-47 | Neon Rider,Minimal Wear,False,47,38
AK-47 | Neon Rider,Minimal Wear,True,2,15
AK-47 | Neon Rider,Well-Worn,False,7,12
AK-47 | Neon Rider,Well-Worn,True,1,2
AK-47 | Orbit Mk01,Battle-Scarred,False,7,30
AK-47 | Orbit Mk01,Battle-Scarred,True,2,13
AK-47 | Orbit Mk01,Factory New,False,42,115
AK-47 | Orbit Mk01,Factory New,True,5,19
AK-47 | Orbit Mk01,Field-Tested,False,175,164
AK-47 | Orbit Mk01,Field-Tested,True,18,37
AK-47 | Orbit Mk01,Minimal Wear,False,108,144
AK-47 | Orbit Mk01,Minimal Wear,True,8,22
AK-47 | Orbit Mk01,Well-Worn,False,12,35
AK-47 | Orbit Mk01,Well-Worn,True,0,8
AK-47 | Phantom Disruptor,Battle-Scarred,False,83,55
AK-47 | Phantom Disruptor,Battle-Scarred,True,10,15
AK-47 | Phantom Disruptor,Factory New,False,62,67
AK-47 | Phantom Disruptor,Factory New,True,15,10
AK-47 | Phantom Disruptor,Field-Tested,False,405,233
AK-47 | Phantom Disruptor,Field-Tested,True,32,33
AK-47 | Phantom Disruptor,Minimal Wear,False,157,124
AK-47 | Phantom Disruptor,Minimal Wear,True,9,17
AK-47 | Phantom Disruptor,Well-Worn,False,23,32
AK-47 | Phantom Disruptor,Well-Worn,True,1,8
AK-47 | Point Disarray,Battle-Scarred,False,33,47
AK-47 | Point Disarray,Battle-Scarred,True,4,6
AK-47 | Point Disarray,Factory New,False,18,42
AK-47 | Point Disarray,Factory New,True,3,8
AK-47 | Point Disarray,Field-Tested,False,125,131
AK-47 | Point Disarray,Field-Tested,True,9,16
AK-47 | Point Disarray,Minimal Wear,False,46,89
AK-47 | Point Disarray,Minimal Wear,True,3,11
AK-47 | Point Disarray,Well-Worn,False,11,20
AK-47 | Point Disarray,Well-Worn,True,2,8
AK-47 | Predator,Battle-Scarred,False,13,165
AK-47 | Predator,Factory New,False,2,18
AK-47 | Predator,Field-Tested,False,43,318
AK-47 | Predator,Minimal Wear,False,21,173
AK-47 | Predator,Well-Worn,False,7,96
AK-47 | Rat Rod,Battle-Scarred,False,257,162
AK-47 | Rat Rod,Battle-Scarred,True,24,30
AK-47 | Rat Rod,Factory New,False,57,81
AK-47 | Rat Rod,Factory New,True,10,23
AK-47 | Rat Rod,Field-Tested,False,804,426
AK-47 | Rat Rod,Field-Tested,True,80,58
AK-47 | Rat Rod,Minimal Wear,False,317,234
AK-47 | Rat Rod,Minimal Wear,True,37,75
AK-47 | Rat Rod,Well-Worn,False,401,211
AK-47 | Rat Rod,Well-Worn,True,33,34
AK-47 | Red Laminate,Battle-Scarred,False,2,71
AK-47 | Red Laminate,Battle-Scarred,True,0,6
AK-47 | Red Laminate,Factory New,False,0,3
AK-47 | Red Laminate,Factory New,True,0,1
AK-47 | Red Laminate,Field-Tested,False,40,213
AK-47 | Red Laminate,Field-Tested,True,2,25
AK-47 | Red Laminate,Minimal Wear,False,8,134
AK-47 | Red Laminate,Minimal Wear,True,1,9
AK-47 | Red Laminate,Well-Worn,False,6,45
AK-47 | Red Laminate,Well-Worn,True,0,11
AK-47 | Redline,Battle-Scarred,False,92,168
AK-47 | Redline,Battle-Scarred,True,8,43
AK-47 | Redline,Field-Tested,False,792,1159
AK-47 | Redline,Field-Tested,True,51,182
AK-47 | Redline,Minimal Wear,False,20,128
AK-47 | Redline,Minimal Wear,True,1,12
AK-47 | Redline,Well-Worn,False,47,131
AK-47 | Redline,Well-Worn,True,6,23
AK-47 | Safari Mesh,Battle-Scarred,False,769,4013
AK-47 | Safari Mesh,Factory New,False,29,181
AK-47 | Safari Mesh,Field-Tested,False,4811,21492
AK-47 | Safari Mesh,Minimal Wear,False,885,3364
AK-47 | Safari Mesh,Well-Worn,False,634,2152
AK-47 | Safety Net,Battle-Scarred,False,13,52
AK-47 | Safety Net,Factory New,False,30,145
AK-47 | Safety Net,Field-Tested,False,71,227
AK-47 | Safety Net,Minimal Wear,False,48,133
AK-47 | Safety Net,Well-Worn,False,7,18
AK-47 | The Empress,Battle-Scarred,False,84,86
AK-47 | The Empress,Battle-Scarred,True,1,11
AK-47 | The Empress,Factory New,False,9,26
AK-47 | The Empress,Factory New,True,1,9
AK-47 | The Empress,Field-Tested,False,157,95
AK-47 | The Empress,Field-Tested,True,10,24
AK-47 | The Empress,Minimal Wear,False,52,48
AK-47 | The Empress,Minimal Wear,True,3,17
AK-47 | The Empress,Well-Worn,False,89,63
AK-47 | The Empress,Well-Worn,True,7,12
AK-47 | Uncharted,Battle-Scarred,False,853,1271
AK-47 | Uncharted,Battle-Scarred,True,105,169
AK-47 | Uncharted,Factory New,False,536,796
AK-47 | Uncharted,Factory New,True,69,174
AK-47 | Uncharted,Field-Tested,False,3958,5864
AK-47 | Uncharted,Field-Tested,True,586,451
AK-47 | Uncharted,Minimal Wear,False,1792,2709
AK-47 | Uncharted,Minimal Wear,True,232,231
AK-47 | Uncharted,Well-Worn,False,209,279
AK-47 | Uncharted,Well-Worn,True,35,41
AK-47 | Vulcan,Battle-Scarred,False,24,39
AK-47 | Vulcan,Battle-Scarred,True,2,6
AK-47 | Vulcan,Factory New,False,3,19
AK-47 | Vulcan,Factory New,True,0,3
AK-47 | Vulcan,Field-Tested,False,69,106
AK-47 | Vulcan,Field-Tested,True,2,13
AK-47 | Vulcan,Minimal Wear,False,13, 78
AK-47 | Vulcan,Minimal Wear,True,3,7
AK-47 | Vulcan,Well-Worn,False,14,24
AK-47 | Vulcan,Well-Worn,True,0,3
AK-47 | Wasteland Rebel,Battle-Scarred,False,10,19
AK-47 | Wasteland Rebel,Battle-Scarred,True,0,4
AK-47 | Wasteland Rebel,Factory New,False,0,10
AK-47 | Wasteland Rebel,Factory New,True,0,1
AK-47 | Wasteland Rebel,Field-Tested,False,59,84
AK-47 | Wasteland Rebel,Field-Tested,True,2,11
AK-47 | Wasteland Rebel,Minimal Wear,False,31,35
AK-47 | Wasteland Rebel,Minimal Wear,True,0,10
AK-47 | Wasteland Rebel,Well-Worn,False,5,6
AK-47 | Wasteland Rebel,Well-Worn,True,0,2
AK-47 | Wild Lotus,Battle-Scarred,False,1,5
AK-47 | Wild Lotus,Factory New,False,0,0
AK-47 | Wild Lotus,Field-Tested,False,0,3
AK-47 | Wild Lotus,Minimal Wear,False,0,0
AK-47 | Wild Lotus,Well-Worn,False,0,3
AUG | Akihabara Accept,Battle-Scarred,False,1,5
AUG | Akihabara Accept,Factory New,False,0,0
AUG | Akihabara Accept,Field-Tested,False,0,2
AUG | Akihabara Accept,Minimal Wear,False,0,2
AUG | Akihabara Accept,Well-Worn,False,2,8
AUG | Amber Slipstream,Battle-Scarred,False,85,345
AUG | Amber Slipstream,Battle-Scarred,True,25,150
AUG | Amber Slipstream,Factory New,False,211,708
AUG | Amber Slipstream,Factory New,True,49,207
AUG | Amber Slipstream,Field-Tested,False,388,1778
AUG | Amber Slipstream,Field-Tested,True,156,719
AUG | Amber Slipstream,Minimal Wear,False,346,770
AUG | Amber Slipstream,Minimal Wear,True,74,330
AUG | Amber Slipstream,Well-Worn,False,62,296
AUG | Amber Slipstream,Well-Worn,True,9,100
AUG | Anodized Navy,Factory New,False,5,82
AUG | Anodized Navy,Minimal Wear,False,0,10
AUG | Arctic Wolf,Battle-Scarred,False,91,206
AUG | Arctic Wolf,Battle-Scarred,True,11,23
AUG | Arctic Wolf,Factory New,False,58,126
AUG | Arctic Wolf,Factory New,True,12,41
AUG | Arctic Wolf,Field-Tested,False,610,955
AUG | Arctic Wolf,Field-Tested,True,64,104
AUG | Arctic Wolf,Minimal Wear,False,197,306
AUG | Arctic Wolf,Minimal Wear,True,22,59
AUG | Arctic Wolf,Well-Worn,False,52,57
AUG | Arctic Wolf,Well-Worn,True,5,12
AUG | Aristocrat,Battle-Scarred,False,128,171
AUG | Aristocrat,Battle-Scarred,True,12,77
AUG | Aristocrat,Factory New,False,103,169
AUG | Aristocrat,Factory New,True,14,62
AUG | Aristocrat,Field-Tested,False,397,498
AUG | Aristocrat,Field-Tested,True,63,179
AUG | Aristocrat,Minimal Wear,False,220,277
AUG | Aristocrat,Minimal Wear,True,38,79
AUG | Aristocrat,Well-Worn,False,54,179
AUG | Aristocrat,Well-Worn,True,5,13
AUG | Bengal Tiger,Battle-Scarred,False,3,23
AUG | Bengal Tiger,Battle-Scarred,True,0,15
AUG | Bengal Tiger,Factory New,False,1,7
AUG | Bengal Tiger,Factory New,True,0,6
AUG | Bengal Tiger,Field-Tested,False,30,82
AUG | Bengal Tiger,Field-Tested,True,4,38
AUG | Bengal Tiger,Minimal Wear,False,14,71
AUG | Bengal Tiger,Minimal Wear,True,0,21
AUG | Bengal Tiger,Well-Worn,False,0,22
AUG | Bengal Tiger,Well-Worn,True,0,17
AUG | Chameleon,Battle-Scarred,False,11,25
AUG | Chameleon,Battle-Scarred,True,0,13
AUG | Chameleon,Factory New,False,53,172
AUG | Chameleon,Factory New,True,2,33
AUG | Chameleon,Field-Tested,False,212,178
AUG | Chameleon,Field-Tested,True,9,52
AUG | Chameleon,Minimal Wear,False,85,163
AUG | Chameleon,Minimal Wear,True,10,41
AUG | Chameleon,Well-Worn,False,14,20
AUG | Chameleon,Well-Worn,True,1,15
AUG | Colony,Battle-Scarred,False,5,106
AUG | Colony,Factory New,False,1,31
AUG | Colony,Field-Tested,False,4,155
AUG | Colony,Minimal Wear,False,6,92
AUG | Colony,Well-Worn,False,3,87
AUG | Condemned,Battle-Scarred,False,241,1884
AUG | Condemned,Factory New,False,14,308
AUG | Condemned,Field-Tested,False,1127,6687
AUG | Condemned,Minimal Wear,False,506,2160
AUG | Condemned,Well-Worn,False,214,1565
AUG | Contractor,Battle-Scarred,False,1250,9209
AUG | Contractor,Factory New,False,74,318
AUG | Contractor,Field-Tested,False,3086,33831
AUG | Contractor,Minimal Wear,False,831,7418
AUG | Contractor,Well-Worn,False,552,6209
AUG | Copperhead,Field-Tested,False,2,16
AUG | Copperhead,Minimal Wear,False,2,13
AUG | Daedalus,Battle-Scarred,False,6,75
AUG | Daedalus,Factory New,False,33,94
AUG | Daedalus,Field-Tested,False,32,129
AUG | Daedalus,Minimal Wear,False,31,101
AUG | Daedalus,Well-Worn,False,4,105
AUG | Death by Puppy,Factory New,False,110,136
AUG | Death by Puppy,Factory New,True,11,47
AUG | Death by Puppy,Field-Tested,False,115,124
AUG | Death by Puppy,Field-Tested,True,8,24
AUG | Death by Puppy,Minimal Wear,False,141,150
AUG | Death by Puppy,Minimal Wear,True,7,40
AUG | Death by Puppy,Well-Worn,False,9,33
AUG | Death by Puppy,Well-Worn,True,1,12
AUG | Flame Jörmungandr,Battle-Scarred,False,0,7
AUG | Flame Jörmungandr,Factory New,False,10,55
AUG | Flame Jörmungandr,Field-Tested,False,3,10
AUG | Flame Jörmungandr,Minimal Wear,False,5,20
AUG | Flame Jörmungandr,Well-Worn,False,0,7
AUG | Fleet Flock,Battle-Scarred,False,25,60
AUG | Fleet Flock,Battle-Scarred,True,6,26
AUG | Fleet Flock,Factory New,False,7,42
AUG | Fleet Flock,Factory New,True,1,14
AUG | Fleet Flock,Field-Tested,False,70,140
AUG | Fleet Flock,Field-Tested,True,1,66
AUG | Fleet Flock,Minimal Wear,False,33,123
AUG | Fleet Flock,Minimal Wear,True,3,28
AUG | Fleet Flock,Well-Worn,False,33,119
AUG | Fleet Flock,Well-Worn,True,2,30
AUG | Midnight Lily,Battle-Scarred,False,4,8
AUG | Midnight Lily,Factory New,False,11,51
AUG | Midnight Lily,Field-Tested,False,3,16
AUG | Midnight Lily,Minimal Wear,False,6,24
AUG | Midnight Lily,Well-Worn,False,0,4
AUG | Momentum,Battle-Scarred,False,163,173
AUG | Momentum,Battle-Scarred,True,19,37
AUG | Momentum,Factory New,False,3,19
AUG | Momentum,Factory New,True,1,7
AUG | Momentum,Field-Tested,False,253,211
AUG | Momentum,Field-Tested,True,26,67
AUG | Momentum,Minimal Wear,False,66,116
AUG | Momentum,Minimal Wear,True,8,27
AUG | Momentum,Well-Worn,False,125,121
AUG | Momentum,Well-Worn,True,19,28
AUG | Navy Murano,Battle-Scarred,False,115,1896
AUG | Navy Murano,Factory New,False,59,323
AUG | Navy Murano,Field-Tested,False,535,4549
AUG | Navy Murano,Minimal Wear,False,397,1019
AUG | Navy Murano,Well-Worn,False,292,4402
AUG | Radiation Hazard,Battle-Scarred,False,5,127
AUG | Radiation Hazard,Factory New,False,67,330
AUG | Radiation Hazard,Field-Tested,False,122,109
AUG | Radiation Hazard,Minimal Wear,False,83,280
AUG | Radiation Hazard,Well-Worn,False,15,212
AUG | Random Access,Battle-Scarred,False,3,24
AUG | Random Access,Factory New,False,37,101
AUG | Random Access,Field-Tested,False,53,64
AUG | Random Access,Minimal Wear,False,32,80
AUG | Random Access,Well-Worn,False,3,24
AUG | Ricochet,Battle-Scarred,False,151,772
AUG | Ricochet,Battle-Scarred,True,12,179
AUG | Ricochet,Factory New,False,34,227
AUG | Ricochet,Factory New,True,9,63
AUG | Ricochet,Field-Tested,False,331,1213
AUG | Ricochet,Field-Tested,True,61,352
AUG | Ricochet,Minimal Wear,False,207,455
AUG | Ricochet,Minimal Wear,True,35,149
AUG | Ricochet,Well-Worn,False,19,218
AUG | Ricochet,Well-Worn,True,2,32
AUG | Storm,Battle-Scarred,False,747,8005
AUG | Storm,Factory New,False,46,424
AUG | Storm,Field-Tested,False,2915,28862
AUG | Storm,Minimal Wear,False,1209,5305
AUG | Storm,Well-Worn,False,456,5712
AUG | Stymphalian,Battle-Scarred,False,30,84
AUG | Stymphalian,Battle-Scarred,True,11,37
AUG | Stymphalian,Factory New,False,59,199
AUG | Stymphalian,Factory New,True,20,57
AUG | Stymphalian,Field-Tested,False,265,268
AUG | Stymphalian,Field-Tested,True,39,98
AUG | Stymphalian,Minimal Wear,False,150,155
AUG | Stymphalian,Minimal Wear,True,22,72
AUG | Stymphalian,Well-Worn,False,24,62
AUG | Stymphalian,Well-Worn,True,9,45
AUG | Sweeper,Battle-Scarred,False,339,2221
AUG | Sweeper,Factory New,False,830,977
AUG | Sweeper,Field-Tested,False,1780,10157
AUG | Sweeper,Minimal Wear,False,1142,4783
AUG | Sweeper,Well-Worn,False,196,1420
AUG | Syd Mead,Battle-Scarred,False,61,108
AUG | Syd Mead,Battle-Scarred,True,6,48
AUG | Syd Mead,Factory New,False,24,110
AUG | Syd Mead,Factory New,True,6,28
AUG | Syd Mead,Field-Tested,False,302,339
AUG | Syd Mead,Field-Tested,True,23,96
AUG | Syd Mead,Minimal Wear,False,90,235
AUG | Syd Mead,Minimal Wear,True,19,62
AUG | Syd Mead,Well-Worn,False,23,49
AUG | Syd Mead,Well-Worn,True,3,23
AUG | Tom Cat,Battle-Scarred,False,312,844
AUG | Tom Cat,Battle-Scarred,True,62,105
AUG | Tom Cat,Factory New,False,167,392
AUG | Tom Cat,Factory New,True,30,62
AUG | Tom Cat,Field-Tested,False,1518,2496
AUG | Tom Cat,Field-Tested,True,251,332
AUG | Tom Cat,Minimal Wear,False,757,518
AUG | Tom Cat,Minimal Wear,True,134,114
AUG | Tom Cat,Well-Worn,False,94,155
AUG | Tom Cat,Well-Worn,True,16,58
AUG | Torque,Battle-Scarred,False,0,21
AUG | Torque,Battle-Scarred,True,0,18
AUG | Torque,Factory New,False,31,201
AUG | Torque,Factory New,True,9,110
AUG | Torque,Field-Tested,False,83,40
AUG | Torque,Field-Tested,True,13,116
AUG | Torque,Minimal Wear,False,92,199
AUG | Torque,Minimal Wear,True,9,90
AUG | Torque,Well-Worn,False,7,64
AUG | Torque,Well-Worn,True,0,28
AUG | Triqua,Battle-Scarred,False,353,1989
AUG | Triqua,Battle-Scarred,True,99,675
AUG | Triqua,Factory New,False,110,413
AUG | Triqua,Factory New,True,22,99
AUG | Triqua,Field-Tested,False,896,3801
AUG | Triqua,Field-Tested,True,234,823
AUG | Triqua,Minimal Wear,False,791,3385
AUG | Triqua,Minimal Wear,True,124,553
AUG | Triqua,Well-Worn,False,566,2772
AUG | Triqua,Well-Worn,True,202,635
AUG | Wings,Factory New,False,73,211
AUG | Wings,Factory New,True,27,205
AUG | Wings,Minimal Wear,False,12,53
AUG | Wings,Minimal Wear,True,1,78
AWP | Acheron,Battle-Scarred,False,90,391
AWP | Acheron,Factory New,False,70,116
AWP | Acheron,Field-Tested,False,413,582
AWP | Acheron,Minimal Wear,False,246,301
AWP | Acheron,Well-Worn,False,24,43
AWP | Asiimov,Battle-Scarred,False,113,248
AWP | Asiimov,Battle-Scarred,True,5,48
AWP | Asiimov,Field-Tested,False,65,177
AWP | Asiimov,Field-Tested,True,6,23
AWP | Asiimov,Well-Worn,False,51,78
AWP | Asiimov,Well-Worn,True,2,9
AWP | Atheris,Battle-Scarred,False,441,1045
AWP | Atheris,Battle-Scarred,True,64,124
AWP | Atheris,Factory New,False,90,202
AWP | Atheris,Factory New,True,15,35
AWP | Atheris,Field-Tested,False,1599,2022
AWP | Atheris,Field-Tested,True,127,106
AWP | Atheris,Minimal Wear,False,602,626
AWP | Atheris,Minimal Wear,True,64,130
AWP | Atheris,Well-Worn,False,892,1103
AWP | Atheris,Well-Worn,True,70,86
AWP | BOOM,Factory New,False,1,10
AWP | BOOM,Factory New,True,0,2
AWP | BOOM,Field-Tested,False,16,73
AWP | BOOM,Field-Tested,True,1,14
AWP | BOOM,Minimal Wear,False,41,159
AWP | BOOM,Minimal Wear,True,2,16
AWP | Capillary,Battle-Scarred,False,606,669
AWP | Capillary,Battle-Scarred,True,80,116
AWP | Capillary,Factory New,False,61,143
AWP | Capillary,Factory New,True,11,39
AWP | Capillary,Field-Tested,False,3346,3111
AWP | Capillary,Field-Tested,True,401,271
AWP | Capillary,Minimal Wear,False,1246,856
AWP | Capillary,Minimal Wear,True,168,166
AWP | Capillary,Well-Worn,False,214,247
AWP | Capillary,Well-Worn,True,33,43
AWP | Containment Breach,Battle-Scarred,False,42,45
AWP | Containment Breach,Battle-Scarred,True,4,9
AWP | Containment Breach,Factory New,False,2,24
AWP | Containment Breach,Factory New,True,0,7
AWP | Containment Breach,Field-Tested,False,49,53
AWP | Containment Breach,Field-Tested,True,3,20
AWP | Containment Breach,Minimal Wear,False,15,29
AWP | Containment Breach,Minimal Wear,True,2,8
AWP | Containment Breach,Well-Worn,False,43,36
AWP | Containment Breach,Well-Worn,True,7,2
AWP | Corticera,Factory New,False,7,49
AWP | Corticera,Factory New,True,1,8
AWP | Corticera,Field-Tested,False,57,155
AWP | Corticera,Field-Tested,True,4,16
AWP | Corticera,Minimal Wear,False,102,209
AWP | Corticera,Minimal Wear,True,4,45
AWP | Dragon Lore,Battle-Scarred,False,0,3
AWP | Dragon Lore,Factory New,False,0,0
AWP | Dragon Lore,Field-Tested,False,0,0
AWP | Dragon Lore,Minimal Wear,False,0,0
AWP | Dragon Lore,Well-Worn,False,0,0
AWP | Electric Hive,Factory New,False,31,175
AWP | Electric Hive,Factory New,True,4,23
AWP | Electric Hive,Field-Tested,False,39,151
AWP | Electric Hive,Field-Tested,True,6,27
AWP | Electric Hive,Minimal Wear,False,52,143
AWP | Electric Hive,Minimal Wear,True,2,22
AWP | Electric Hive,Well-Worn,False,2,15
AWP | Electric Hive,Well-Worn,True,0,9
AWP | Elite Build,Battle-Scarred,False,55,168
AWP | Elite Build,Battle-Scarred,True,8,25
AWP | Elite Build,Factory New,False,20,54
AWP | Elite Build,Factory New,True,2,17
